2017-06-16 16:55:07,4580,4580
2017-07-01 15:22:02,5004,424
2017-07-01 15:43:19,5424,420
2017-07-01 16:15:42,6339,915
2017-07-01 20:06:28,6665,326
2017-07-01 21:51:53,7173,508
2017-07-01 23:05:10,7554,381
2017-07-02 12:51:05,7986,432
2017-07-03 10:16:15,8319,333
2017-07-03 10:42:23,8833,514
2017-07-03 11:18:55,9343,510
2017-07-03 12:12:11,9704,361
2017-07-03 14:18:14,10680,976
2017-07-03 15:07:20,11817,1137
2017-07-03 15:46:27,12388,571
2017-07-03 16:30:56,13568,1180
2017-07-03 18:30:11,15008,1440
2017-07-03 19:37:22,15654,646
2017-07-03 21:56:22,16704,1050
2017-07-03 23:49:32,16941,237
2017-07-04 00:20:53,16979,38
2017-07-04 16:26:37,17486,507
2017-07-04 23:22:23,18442,956
2017-07-05 11:50:59,18946,504
2017-07-05 16:51:24,19321,375
2017-07-05 17:39:18,19818,497
2017-07-05 19:09:17,20545,727
2017-07-06 01:07:40,20999,454
2017-07-06 17:36:13,22161,1162
2017-07-07 00:51:40,22408,247
2017-07-07 10:28:27,23153,745
2017-07-07 11:09:39,23897,744
2017-07-08 23:04:04,24159,262
2017-07-09 01:42:25,24410,251
2017-07-10 11:05:35,25416,1006
2017-07-10 17:40:57,25979,563
2017-07-11 00:00:33,26212,233
2017-07-11 10:13:19,26800,588
